job_id,window_idx,shank_id,run_dir,sessions,completed_time,elapsed_time
23,5,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_005\shank_2,"['BG_046_01072025', 'BG_046_02072025', 'BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025']",2026-03-28 15:03:07.174618,8:58:09.499172
24,5,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_005\shank_3,"['BG_046_01072025', 'BG_046_02072025', 'BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025']",2026-03-28 15:12:29.045593,8:24:00.917155
25,6,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_006\shank_0,"['BG_046_02072025', 'BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025']",2026-03-28 11:15:57.817966,3:12:59.645734
26,6,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_006\shank_1,"['BG_046_02072025', 'BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025']",2026-03-28 16:01:52.601025,7:10:39.488300
27,6,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_006\shank_2,"['BG_046_02072025', 'BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025']",2026-03-28 19:01:55.699299,9:37:11.118217
28,6,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_006\shank_3,"['BG_046_02072025', 'BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025']",2026-03-28 19:21:52.177716,9:08:28.974984
29,7,0,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_007\shank_0,"['BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025']",2026-03-28 14:12:04.934300,2:54:49.354172
30,7,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_007\shank_1,"['BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025']",2026-03-28 17:42:41.760757,3:29:09.934747
31,7,2,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_007\shank_2,"['BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025']",2026-03-28 20:51:06.224845,4:55:22.483920
32,7,3,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_007\shank_3,"['BG_046_03072025', 'BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025']",2026-03-29 01:29:08.353034,7:48:27.622113
34,8,1,X:\public\projects\BeJG_20230130_VisDetect\wEPhys\BG_046\concat_sort\ks4_runs\window_008\shank_1,"['BG_046_04072025', 'BG_046_08072025', 'BG_046_09072025', 'BG_046_10072025', 'BG_046_14072025']",2026-03-28 21:21:50.193879,3:37:59.526553
