unit,c1_r_log2,raw_corr,sign_c1,sign_raw,npts,match
15,0.2431725483342953,0.011828159364221798,1.0,1.0,117481,True
17,0.2002384639015244,0.003928413009429623,1.0,1.0,117481,True
22,0.2504641254881853,0.009387067663494645,1.0,1.0,117481,True
53,0.3639586408675878,0.013431392116740683,1.0,1.0,117481,True
71,0.4213563597694695,0.03069910771279808,1.0,1.0,117481,True
73,0.3364385091411355,-1.3340391161215946e-05,1.0,-1.0,117481,False
101,0.4969792566019574,0.031581173254121374,1.0,1.0,117481,True
124,0.2116306744921837,0.006765424272742842,1.0,1.0,117481,True
146,0.3227902095501622,0.004182912707048613,1.0,1.0,117481,True
242,0.2445591466910834,0.004838533245270869,1.0,1.0,117481,True
264,0.2443529209219072,0.026310008499778194,1.0,1.0,117481,True
308,0.3238278487741634,-0.01706467299407859,1.0,-1.0,117481,False
309,0.2199079462507638,0.00794963635830747,1.0,1.0,117481,True
312,0.2145908406322573,0.0076677485498912335,1.0,1.0,117481,True
321,0.2403830739566856,0.003518000993838255,1.0,1.0,117481,True
410,0.3754554415152885,0.03129985617802071,1.0,1.0,117481,True
422,0.2768122293801026,-0.0036648266028577654,1.0,-1.0,117481,False
454,0.3928066549922006,0.028072353189036375,1.0,1.0,117481,True
473,0.267816715685032,-0.03422194786596469,1.0,-1.0,117481,False
474,0.2419481706400945,0.00848022255073599,1.0,1.0,117481,True
482,0.285721729554645,0.013748590087104415,1.0,1.0,117481,True
524,0.2084191842454785,-0.012195911793877835,1.0,-1.0,117481,False
534,0.3020941366928179,0.017641851641222686,1.0,1.0,117481,True
537,0.2887951099571916,0.018539482560556788,1.0,1.0,117481,True
546,0.2906364654481767,0.013953474838475536,1.0,1.0,117481,True
