region,n_cells,pearson_r,null_absr_p95,obs_percentile,p_perm,spearman_r,spearman_p
pooled,495,-0.10491874710012736,0.08365653102015047,98.7,0.013986013986013986,-0.17744480948362307,7.20356294877423e-05
DMS,189,-0.20598878936396736,0.13619896291406292,99.8,0.002997002997002997,-0.411087786786479,4.206126090939708e-09
VMS,306,-0.04042967542381031,0.10725921741727955,50.6,0.4945054945054945,-0.033957315992199165,0.5540179888070071
