region,cls,onset_prelick,onset_full,peak_t,ramp_prelick_frac
pooled,sustained,-0.7375000000000045,-0.7375000000000045,0.01249999999999285,0.2608035111411209
pooled,transient,-0.6125000000000049,-0.6125000000000049,0.08749999999999258,0.2153788164342254
pooled,non-TF,-0.3375000000000059,-0.3375000000000059,0.1374999999999924,0.14911410315571164
DMS,sustained,-0.6875000000000047,-0.6875000000000047,0.01249999999999285,0.28071979434447303
DMS,transient,-0.5625000000000051,-0.5625000000000051,0.46249999999999125,0.17357972885732728
DMS,non-TF,-0.3625000000000058,-0.3625000000000058,0.2874999999999919,0.14178007224761477
VMS,sustained,-0.887500000000004,-0.887500000000004,-0.012500000000007061,0.25266457680250787
VMS,transient,-0.7125000000000046,-0.7125000000000046,0.08749999999999258,0.2529405531418883
VMS,non-TF,-0.3375000000000059,-0.3375000000000059,0.1374999999999924,0.16232269910488867
