region,lick_group,n,pearson_r,spearman_r,spearman_p
pooled,lick-responsive,372,-0.0980459376857361,-0.16886081210287357,0.0010776942259892509
pooled,non-lick-responsive,123,-0.13799991935755337,-0.12795957498089933,0.15840520039024364
DMS,lick-responsive,149,-0.13246500045818743,-0.33113327364255474,3.7082950130462224e-05
DMS,non-lick-responsive,40,-0.4149308008875855,-0.4213345397393528,0.006777400572807185
VMS,lick-responsive,223,-0.07582557023791517,-0.08256836733417183,0.21938033046519656
VMS,non-lick-responsive,83,0.007870783855298422,0.1024620640909672,0.35666104874836635
