region,obs_diff,null_diff_mean,null_diff_p2_5,null_diff_p97_5,obs_percentile,p_one_sided,obs_rho,rho_p,monotonic,onset_sustained,onset_transient,onset_nonTF
pooled,0.3999999999999986,0.00862499999999997,-0.12499999999999956,0.17499999999999938,100.0,0.000999000999000999,1.0,0.10640495867768596,1.0,-0.7375000000000045,-0.6125000000000049,-0.3375000000000059
DMS,0.32499999999999885,-0.03779999999999986,-0.20062499999999925,0.1756249999999988,99.7,0.003996003996003996,1.0,0.07403651115618662,1.0,-0.6875000000000047,-0.5625000000000051,-0.3625000000000058
VMS,0.549999999999998,0.015499999999999944,-0.17499999999999938,0.34999999999999876,99.0,0.01098901098901099,1.0,0.09247967479674797,1.0,-0.887500000000004,-0.7125000000000046,-0.3375000000000059
