region,n,primary_slope,primary_ci_lo,primary_ci_hi,indep_slope,indep_ci_lo,indep_ci_hi,within_primary_ci,onset_mae
pooled,495,-0.7377415084644751,-1.3967515706092721,-0.18215551746151837,-0.7390835084412085,-1.3499323900534403,-0.16779081150807465,True,0.023686868686868603
DMS,189,-1.1485460258161615,-2.2097799308319863,-0.5562786962478184,-1.149213474386884,-2.2064707347031054,-0.5488975096449225,True,0.023809523809523725
VMS,306,-0.320486126886313,-1.2139710591251944,0.5578573702015975,-0.32247481858468274,-1.2065399262421896,0.5823242666440688,True,0.023611111111111027
