region,n,n_sessions,n_subjects,ols_slope,ols_p,mm_slope,mm_p,mm2_slope,mm2_p,method,sign_n_sessions,sign_n_neg,sign_p,sign_wilcoxon_p
pooled,495,69,3,-0.7377415084644735,0.01955175428845332,-0.9428627506874737,0.00025601009107269245,,,mixedlm(session RE),43,34,8.507758730047499e-05,0.000137588130325423
DMS,189,40,2,-1.148546025816161,0.004459977212580425,-1.1134175281461889,0.00044809476643473074,,,mixedlm(session RE),16,13,0.0106353759765625,0.012419330651552265
VMS,306,29,1,-0.32048612688631606,0.48104415237475373,-0.8230124557445838,0.02265509408421208,,,mixedlm(session RE),27,21,0.0029623061418533325,0.003892417122778628
