region,group,n_units,onset_s,peak_frac,t_peak
VMS,transient,183,-0.4875000000000054,0.5122950819672131,0.23749999999999205
VMS,sustained,69,-0.7625000000000044,0.7681159420289856,0.03749999999999276
VMS,non-TF,4937,-0.21250000000000635,0.366264938221592,0.1124999999999925
