region,unit_of_obs,pearson_r,pearson_p,spearman_r,spearman_p,n,slope,ci_lo,ci_hi
VMS,decile,-0.47073877818974846,0.16970623827326486,-0.2796365500928297,0.433925839676929,10,-0.1999486671385449,-0.2935519844363766,0.08560206472704184
VMS,cell,-0.040429675423810305,0.48104415237475445,-0.033957315992199165,0.5540179888070071,306,-0.005100247772829398,-0.01941886649011052,0.008709358273501631
