region,group,n_units,onset_s,peak_frac,t_peak
VMS,transient,183,-0.7125000000000046,0.6058743169398907,0.08749999999999258
VMS,sustained,69,-0.887500000000004,0.8297101449275363,-0.012500000000007061
VMS,non-TF,4937,-0.3375000000000059,0.45136216325703865,0.1374999999999924
