session,shift_um,corr,n_units
23062025,0.0,0.8765397981519892,84
24062025,0.0,0.672990175760652,47
25062025,0.0,0.7118657415579941,37
26062025,0.0,0.8541267721856404,60
27062025,0.0,0.6801118496299823,58
30062025,0.0,0.8080187616476547,115
01072025,0.0,0.8503488993360785,108
02072025,0.0,0.6857404828814322,134
03072025,0.0,0.8265139076244048,178
04072025,0.0,0.5107693934076981,176
08072025,0.0,0.8734723189656372,124
09072025,0.0,0.8327332595322171,89
10072025,0.0,0.8589888311031901,90
14072025,0.0,0.933325186689518,73
15072025,0.0,0.7919803743106851,73
21072025,0.0,0.9450150038451752,96
22072025,0.0,0.9357179077282987,108
24072025,0.0,0.9641461848752905,101
25072025,0.0,0.8600833111099487,80
28072025,0.0,0.6809293762813478,170
04082025,0.0,0.9428835002386645,220
05082025,0.0,0.6270597774930213,158
12082025,0.0,0.8790847991430925,202
13082025,0.0,0.9098775370476826,232
14082025,0.0,0.9672877936366356,229
15082025,0.0,0.9413079548604274,215
18082025,0.0,0.9680133033852512,253
19082025,0.0,0.8352103844260889,316
26082025,0.0,0.9102161848595794,230
27082025,0.0,0.8975839775073011,219
28082025,0.0,0.9813252309280037,222
29082025,0.0,0.8369031739553042,184
01092025,0.0,0.9191540094426779,108
02092025,0.0,0.9066663970208503,119
03092025,0.0,0.9130797747808536,155
04092025,0.0,0.8144158782963041,156
08092025,0.0,0.9484386871577355,225
09092025,0.0,0.8823879647945074,234
12092025,0.0,0.9377435941059039,225
15092025,0.0,0.9166405524116276,256
16092025,0.0,0.9731539161846974,237
17092025,0.0,1.0,268
