subject,session,unit,n_spikes,kernel_fwhm_registry,grid_fwhm,interp_fwhm,temporal_spread,kernel_peak_t_recompute,kernel_peak_t_registry,base_hz,change_on,hit_ramp,fa_ramp
BG_031,BG_031_01052025,3,126570,0.0,0.0,0.0677719829276668,0.4486487088299915,0.2,0.2,13.84366576819407,-0.032345013477089,4.2540880503144685,1.6111111111111125
BG_031,BG_031_01052025,29,207679,0.0,0.0,0.0704155397421245,0.4207748697741765,0.6000000000000001,0.6000000000000001,21.47708894878706,2.341778975741242,7.881761006289306,7.0
BG_031,BG_031_01052025,43,164099,0.0,0.0,0.0622002881367111,0.3858244757829455,0.35,0.35,14.73854447439353,0.95956873315364,9.891823899371069,7.499999999999998
BG_031,BG_031_01052025,61,429544,0.15,0.15,0.1940905610978364,0.3979668271318679,0.35,0.35,44.40970350404312,1.069541778975747,11.401257861635225,18.666666666666664
BG_031,BG_031_01052025,74,256575,0.1499999999999999,0.1499999999999999,0.2157346756621199,0.4114557258143095,0.35,0.35,27.91374663072776,1.0673854447439377,28.08301886792453,21.194444444444446
BG_031,BG_031_01052025,83,158722,0.0999999999999999,0.0999999999999999,0.1246691201844107,0.3907516406642001,0.2,0.2,15.40700808625337,0.562803234501347,-0.6968553459119473,4.083333333333334
BG_031,BG_031_01052025,96,70009,0.0499999999999999,0.0499999999999999,0.0992952162877804,0.4237964536049216,0.15,0.15,7.266846361185983,1.6840970350404325,5.632704402515724,4.208333333333333
BG_031,BG_031_01052025,114,41891,0.0,0.0,0.08490211087296,0.3826551831485715,0.55,0.55,4.840970350404312,-0.5239892183288406,-1.3660377358490567,-1.2638888888888893
BG_031,BG_031_01052025,167,206096,0.0,0.0,0.0834183141937152,0.4175792941469559,0.25,0.25,20.36657681940701,2.0938005390835563,17.620125786163527,24.652777777777786
BG_031,BG_031_01052025,192,249035,0.2,0.2,0.2576574445880602,0.4423887747696925,0.15,0.15,23.849056603773583,0.3924528301886809,7.18490566037736,7.388888888888889
BG_031,BG_031_01052025,240,21195,0.0,0.0,0.0644524510063481,0.4327267770414343,0.15,0.15,2.1563342318059298,0.002156334231806,-0.083018867924528,-0.0555555555555553
BG_031,BG_031_01052025,347,115363,0.05,0.05,0.0822383196545088,0.4491354786079075,0.05,0.05,12.021563342318055,0.9293800539083588,7.69308176100629,7.069444444444446
BG_031,BG_031_01052025,373,19413,0.0,0.0,0.077103424761168,0.4526315658615292,0.55,0.55,1.908355795148248,-0.5196765498652289,-0.7622641509433963,-0.0277777777777776
BG_031,BG_031_01052025,417,123759,0.05,0.05,0.0859816892423645,0.4047752253744695,0.3,0.3,14.619946091644204,0.6706199460916444,1.4641509433962252,3.388888888888891
BG_031,BG_031_01052025,506,109627,0.0999999999999999,0.0999999999999999,0.1571997830077549,0.4326644873876986,0.45,0.45,9.520215633423176,1.8156334231805964,11.255345911949687,13.138888888888893
BG_031,BG_031_01052025,508,91419,0.05,0.05,0.1350969846884849,0.3591351761075431,0.3,0.3,14.177897574123987,-0.1099730458221017,3.549685534591198,3.180555555555556
BG_031,BG_031_01052025,536,84480,0.0,0.0,0.062084145552728,0.4036083444493774,0.4,0.4,9.358490566037736,0.3622641509433961,3.1874213836477985,0.916666666666666
BG_031,BG_031_01052025,609,71168,0.0499999999999999,0.0499999999999999,0.1102491740737088,0.4325541691026004,0.3,0.3,8.91644204851752,-2.229649595687332,-3.3811320754716983,-4.694444444444444
BG_031,BG_031_02042025,18,180286,0.0499999999999999,0.0499999999999999,0.1143565123029019,0.4172999195226463,0.3,0.3,16.806722689075627,0.7462184873949624,2.705882352941177,1.2450980392156872
BG_031,BG_031_02042025,79,124787,0.0499999999999999,0.0499999999999999,0.1012902055223125,0.4535625993367032,0.2,0.2,12.089635854341736,-0.7014005602240889,-1.9869281045751617,0.014705882352942
