subject,sid,n_units,support,n_fa_licks,theta_full,theta_resp,null_mu,null_sd,dev_from_null,fa_rate_behav,d_prime,stage
BG_031,00050325,267,2,44.0,89.67074256774086,86.65363875563953,87.35914151921642,2.4075634393564136,2.3116010485244374,0.20806451612903226,1.163982150198158,Naive
BG_031,00070325,174,6,603.0,82.70366760896371,70.12107376307253,86.79045915858507,2.6578858207480613,-4.086791549621353,0.6561479869423286,1.1389501166426828,Naive
BG_031,00100325,181,6,473.0,77.89300692664654,53.44319456546967,86.904586501908,2.682176674194954,-9.011579575261464,0.5532163742690058,1.2532368559434606,Naive
BG_031,00110325,152,5,284.0,77.69414731560047,42.223033180803036,86.56618191549674,2.8055412868619536,-8.872034599896267,0.4158125915080527,1.1652480987527425,Learning
BG_031,00120325,173,19,549.0,64.57726844445044,50.84345795452385,85.46981132381751,3.514736876536227,-20.89254287936707,0.6836861768368617,1.6367877703007832,Learning
BG_031,00130325,184,5,133.0,86.0744576976355,65.47957930685567,86.86158791674404,2.4346272844921586,-0.7871302191085476,0.18601398601398603,1.0669719465916558,Learning
BG_031,00140325,157,5,349.0,83.58034357652956,71.20713777732635,86.36224261161216,2.9505561881161917,-2.7818990350826027,0.467828418230563,1.2293378191111617,Learning
BG_031,00170325,175,9,402.0,86.77220325868804,76.6458609897359,86.72571631523766,2.567986106171816,0.046486943450375406,0.4631336405529954,0.9156533163423513,Learning
BG_031,00180325,185,13,399.0,64.39532666128687,49.33383224891016,86.17263043041409,3.167159556762851,-21.777303769127215,0.5082802547770701,0.8758522041590873,Learning
BG_031,00190325,151,10,500.0,61.3471700360575,40.96255577777302,84.88142926499576,3.9890159133739878,-23.53425922893826,0.5773672055427251,0.938273822172091,Learning
BG_031,00200325,173,16,448.0,80.97903590148718,71.47252214261651,86.59327443346825,2.452160625177778,-5.614238531981073,0.5397590361445783,1.270861641730936,Learning
BG_031,00210325,137,18,426.0,74.70493308750545,60.067658126777474,86.0756349710508,2.888521725925217,-11.370701883545351,0.5392405063291139,1.4010099210732736,Learning
BG_031,00240325,156,13,373.0,65.76642427565504,43.55992140165825,85.44280269046835,3.246724308214354,-19.676378414813314,0.5268361581920904,1.6393651117316357,Learning
BG_031,00250325,166,11,451.0,62.14711400757116,33.491028643674326,86.77520389270127,2.7705796795421644,-24.62808988513011,0.5665829145728644,1.5791416928870026,Learning
BG_031,00260325,170,19,368.0,54.52475979678832,33.61767982667951,85.09052169753599,3.775768181486512,-30.565761900747674,0.5161290322580645,1.5526712545964745,Expert
BG_031,00270325,144,15,358.0,58.56842247366276,41.349827228793465,85.45908384897395,3.735843026483505,-26.89066137531119,0.6544789762340036,1.5828422456779991,Expert
BG_031,01052025,194,18,58.0,81.30872952421052,67.02293024001204,85.25661350582564,3.225018790232787,-3.9478839816151208,0.11153846153846154,1.0726602904452387,Expert
BG_031,02042025,143,14,306.0,76.10493586063265,66.25610136545691,86.33059939350078,3.633674569705121,-10.225663532868126,0.47368421052631576,1.3407110596670195,Expert
BG_031,08042025,191,14,894.0,70.32805664952038,44.90782495881786,86.9154957171761,2.3419614296711893,-16.587439067655723,0.8579654510556622,1.3456540489233086,Expert
BG_031,09042025,201,12,628.0,79.96783445004532,64.25278443005315,86.47845663847131,2.738812827695015,-6.510622188425998,0.7388235294117647,1.0988032113975168,Expert
BG_031,09052025,166,19,475.0,74.04691710442302,64.57605764083387,86.35745429350828,3.7222997578647066,-12.310537189085267,0.7673667205169629,1.3603506477292118,Expert
BG_031,12052025,160,11,315.0,67.2070687036285,38.45530530386933,86.00080102447461,3.080137457549774,-18.793732320846118,0.6,0.9917007530530636,Expert
BG_031,14042025,199,25,443.0,72.97464938435655,54.41712376427005,86.74128340378115,2.482183253068785,-13.7666340194246,0.6691842900302115,0.9871131797089095,Expert
BG_031,15042025,217,1,131.0,83.34813799939914,,,,,0.3005698005698006,0.8667189048504675,Expert
BG_031,16042025,197,5,212.0,85.78622426532351,80.65065991272222,86.74239948601809,2.636388848749466,-0.9561752206945755,0.3464052287581699,1.2817200484906015,Expert
BG_031,16052025,166,10,292.0,69.85839242318777,39.50243794892332,86.44165576577493,3.0857730276011743,-16.58326334258716,0.5782178217821782,1.1503887406327604,Expert
BG_031,19052025,263,7,117.0,87.67130435849361,68.59729752632833,87.15469338585088,2.2549049749545125,0.5166109726427379,0.48775510204081635,1.0862328028008588,Expert
BG_031,19052025,263,7,117.0,87.67130435849361,68.59729752632833,87.15469338585088,2.2549049749545125,0.5166109726427379,0.48775510204081635,1.0862328028008588,Expert
BG_031,22052025,139,5,244.0,70.45090516176144,28.786010937026937,85.4339607148869,4.130436148304506,-14.983055553125453,0.5126050420168067,1.5493347697910111,Expert
BG_031,25042025,275,6,129.0,87.4426378205084,76.37885877997552,87.58621074031058,2.1526105982398156,-0.1435729198021818,0.25595238095238093,1.2838305104502523,Expert
BG_039,01052025,85,5,124.0,76.03029259714658,41.547513869395196,85.74678743978667,3.5802381233201923,-9.716494842640088,0.27312775330396477,1.4990101707450636,Expert
BG_039,02042025,80,2,199.0,75.57002648733054,20.85313221330204,84.44000830452127,4.9200611914347485,-8.869981817190734,0.2992481203007519,1.6509346028586247,Naive
BG_039,06052025,74,4,248.0,55.70017066158852,33.49460940538586,85.47168492972376,4.971050304369018,-29.771514268135242,0.656084656084656,1.0691039794407282,Expert
BG_039,08052025,69,4,130.0,74.53163780548684,54.339839400607374,84.89445017612536,3.9795479546447674,-10.362812370638522,0.3002309468822171,2.0117530707693883,Expert
BG_039,12052025,73,2,120.0,80.0793522876415,51.40408602641733,84.6747754811873,4.549268611342144,-4.595423193545798,0.24691358024691357,2.2007804402357234,Expert
BG_039,14052025,67,2,170.0,86.42514081895595,72.62998301325138,84.54537918161564,4.28276904062885,1.8797616373403088,0.2915951972555746,1.9665146362187924,Expert
BG_039,15042025,94,2,85.0,85.1977592937268,69.8416065028508,86.29311785749357,4.324606615322239,-1.0953585637667658,0.15342960288808663,1.9933395314317075,Expert
BG_039,16042025,81,4,136.0,72.16490732883017,37.25975702458836,84.13975630795332,5.144692849192096,-11.974848979123152,0.23407917383820998,1.8642548738219635,Expert
BG_039,16052025,79,9,159.0,60.29675631917219,41.330352885311406,83.65351947630441,5.118001085566963,-23.35676315713222,0.30994152046783624,2.016732989198034,Expert
BG_039,20052025,76,3,53.0,85.3029994928805,36.84559134146473,84.93818167260382,4.557989396445259,0.3648178202766843,0.2532855436081243,0.9663415286218564,Expert
BG_039,22052025,81,2,94.0,86.88437771187286,6.87416633848136,85.8578922817389,4.323784076645333,1.0264854301339597,0.2146118721461187,1.8255458713149089,Expert
BG_039,29052025,43,0,44.0,,,,,,0.1004566210045662,2.0879107700710144,Expert
BG_046,01072025,108,1,328.0,86.27102586134868,,,,,0.5568760611205433,1.4544320891120814,Naive
BG_046,01092025,108,4,156.0,78.66886905224504,61.954749337369606,86.11854724295127,3.0783254987733857,-7.449678190706223,0.39195979899497485,2.0109506959925745,Expert
BG_046,02072025,134,4,364.0,70.87754901989139,26.668182103410217,85.86342052407781,4.185587159997094,-14.98587150418642,0.6431095406360424,1.311626908628756,Learning
BG_046,02092025,119,4,111.0,88.61202877300505,77.8154361406859,86.11566230558591,3.2332137216062473,2.4963664674191364,0.30662983425414364,1.499057835985889,Expert
BG_046,03072025,178,4,194.0,88.13568886337877,68.99011245359152,86.58695301734755,3.4225103285293113,1.5487358460312208,0.3911290322580645,1.2651827557291009,Learning
BG_046,03092025,155,6,109.0,86.32677696357207,56.01337298519271,85.45319515863282,3.4197558730304882,0.8735818049392492,0.3263473053892216,2.4474733530684456,Expert
BG_046,04072025,176,8,157.0,88.36292264313313,78.89518726900731,86.84128320245074,2.8239090202245545,1.5216394406823923,0.4131578947368421,1.384434865573348,Learning
