fiber,stage,n_units,n_tagged,fraction,mean_latency_ms,mean_jitter_ms,mean_reliability
GPe,Learning,1496,63,0.042112299465240643,4.06752119064203,2.268730380336958,0.3444539492443684
GPe,Expert,2153,105,0.04876915931258709,3.9416104577235105,2.479159811085341,0.26489877388080973
SNr,Learning,1496,19,0.01270053475935829,4.239575995481061,2.5646090208118664,0.29446370417060613
SNr,Expert,2153,17,0.007895959126799815,4.79581849245468,2.8494018895692026,0.22214394739931898
