test,median,mean,n_units,value
overall_total_DE,0.00906940780741465,0.08783810817056825,4326.0,
mean_PDE_stimulus,3.4061854729317e-05,,,0.00723428056947214
mean_PDE_choice,4.8057073214147206e-05,,,0.009971065344422976
mean_PDE_state,5.584421813864538e-14,,,0.01171855009528304
mean_PDE_baseline,0.00115996569070975,,,0.16623819082460312
