test,rho,p,n,H
d_prime_vs_session_spearman,0.786923076923077,3.07378762355214e-06,25.0,
d_prime_kruskal_by_stage,,4.028016211085116e-05,,16.858141858141863
fa_rate_vs_session_spearman,-0.19153846153846155,0.3590408645895138,25.0,
rt_kruskal_by_stage,,0.0001584757433987168,,14.268731268731273
