test,rho,p,n,chi2,dof
disengaged_frac_vs_session,-0.3335823417382642,0.09583650869001911,26.0,,
engaged_frac_vs_session,0.4339047457090093,0.02678182600799611,26.0,,
impulsive_frac_vs_session,-0.1278276467659846,0.5337440215243121,26.0,,
state_x_stage_chi2,,3.0212515255097905e-229,,1052.3726302753487,2.0
