subject,region,session,unit,kernel_peak_t,c1_r,n_spikes,base_hz,change_on,hit_ramp,fa_ramp,n_hit,n_fa
BG_046,DMS,BG_046_01072025,0,0.9,-0.0194679994587442,15315.0,0.903954802259887,-0.04519774011299438,0.0866290018832393,-0.18502202643171795,177,328
BG_046,DMS,BG_046_01072025,12,0.65,0.135717015727567,8219.0,1.307506053268765,0.16142050040355138,1.2203389830508473,2.4610866372980915,177,328
BG_046,DMS,BG_046_01072025,22,0.75,-0.0090852349652552,50154.0,5.133171912832929,0.4035512510088788,0.2561205273069689,1.6975036710719538,177,328
BG_046,DMS,BG_046_01072025,23,0.8,-0.1656384270083847,29588.0,3.793381759483454,0.34221146085552867,-0.6967984934086631,0.1644640234948609,177,328
BG_046,DMS,BG_046_01072025,37,1.3,-0.0376869660983115,43567.0,4.374495560936238,-0.14850686037126692,0.16572504708097968,0.5668135095447875,177,328
BG_046,DMS,BG_046_01072025,39,0.8500000000000001,0.113367316596489,4035.0,0.516545601291364,-0.13236481033091196,0.03013182674199627,0.5286343612334801,177,328
BG_046,DMS,BG_046_01072025,46,0.2,-0.0587347853158057,26054.0,1.4689265536723164,0.384180790960452,0.09039548022598876,1.888399412628488,177,328
BG_046,DMS,BG_046_01072025,51,0.45,0.0484553617533496,12466.0,2.3244552058111383,0.7489911218724776,-1.016949152542373,1.0954478707782676,177,328
BG_046,DMS,BG_046_01072025,61,1.3,-0.085264235453481,23638.0,0.9846650524616626,0.7554479418886199,0.7495291902071566,0.38472834067547734,177,328
BG_046,DMS,BG_046_01072025,67,0.8500000000000001,-0.0737590219404406,26644.0,1.6303470540758676,0.4713478611783699,0.2975517890772128,0.23201174743024966,177,328
BG_046,DMS,BG_046_01072025,70,0.95,0.0344077241388317,10925.0,0.6779661016949152,0.06779661016949157,0.3126177024482112,1.0044052863436121,177,328
BG_046,DMS,BG_046_01072025,78,1.15,-0.1078686142475667,5056.0,0.516545601291364,0.16142050040355127,0.07909604519774005,0.4317180616740088,177,328
BG_046,DMS,BG_046_01072025,102,0.2,-0.1162265814510612,23420.0,2.2921711057304277,0.4422921711057306,-0.2372881355932206,0.9955947136563874,177,328
BG_046,DMS,BG_046_01072025,115,0.1,-0.0031000129206457,12287.0,1.452784503631961,0.21953188054882977,-0.40677966101694896,0.3612334801762116,177,328
BG_046,DMS,BG_046_01072025,116,1.3,0.0421500892303597,155113.0,19.096045197740114,-0.9943502824858754,1.8907721280602665,3.427312775330396,177,328
BG_046,DMS,BG_046_01072025,137,1.35,-0.1405380015264374,17029.0,2.5504439063761097,-0.2679580306698952,-0.1694915254237288,-0.7518355359765052,177,328
BG_046,DMS,BG_046_01072025,138,0.35,0.0155800150664591,3865.0,0.3551251008878127,0.16464891041162233,0.128060263653484,0.44346549192364176,177,328
BG_046,DMS,BG_046_01072025,140,0.6000000000000001,0.1139174751779552,18800.0,2.8087167070217918,0.08393866020984664,-0.3314500941619585,-0.2790014684287807,177,328
BG_046,DMS,BG_046_01072025,148,0.45,-0.0876515514380725,200999.0,25.536723163841806,-1.4689265536723148,-2.301318267419962,1.6769456681350938,177,328
BG_046,DMS,BG_046_01072025,154,0.15,0.1108620520592978,71202.0,9.023405972558514,-0.20984665052461615,0.6139359698681748,0.26725403817914994,177,328
BG_046,DMS,BG_046_01072025,170,0.75,-0.0792856549053989,4832.0,0.48426150121065364,0.012913640032284235,0.064030131826742,-0.005873715124816381,177,328
BG_046,DMS,BG_046_01072025,177,1.2000000000000002,0.1136408613104576,84289.0,9.120258272800644,0.4164648910411639,1.7966101694915242,0.7958883994126307,177,328
BG_046,DMS,BG_046_01072025,186,0.6000000000000001,-0.0738969691932574,104186.0,13.817594834543987,-0.19047619047619158,1.5555555555555536,-0.6549192364170349,177,328
BG_046,DMS,BG_046_01072025,187,0.15,0.0322859788334459,18954.0,2.389023405972558,0.11945117029862828,0.41431261770244854,0.5521292217327463,177,328
BG_046,DMS,BG_046_01072025,192,0.55,0.0005348302816255,118944.0,15.56093623890234,-0.0807102502017738,0.6478342749529205,0.5814977973568283,177,328
BG_046,DMS,BG_046_01072025,196,1.0,-0.0931471698782524,46745.0,5.084745762711864,0.6327683615819213,0.015065913370998274,-0.12041116005873675,177,328
BG_046,DMS,BG_046_01072025,197,1.35,0.1580160432612022,186986.0,22.17917675544794,-0.5068603712671482,-0.18079096045197574,-0.6519823788546262,177,328
BG_046,DMS,BG_046_01072025,199,0.35,0.0215508150770572,28371.0,3.680387409200968,0.6133979015334958,1.514124293785311,3.659324522760647,177,328
BG_046,DMS,BG_046_01072025,201,1.05,-0.0285655756736206,10610.0,0.8393866020984664,0.109765940274415,0.19585687382297556,0.15565345080763593,177,328
BG_046,DMS,BG_046_01072025,208,0.1,-0.0770912996759635,32364.0,4.229217110573042,-0.025827280064566693,0.2598870056497171,-0.26431718061674037,177,328
BG_046,DMS,BG_046_01072025,210,0.8500000000000001,0.0348564492025872,101696.0,13.73688458434221,-1.2623083131557689,-1.7476459510357785,-0.5932452276064595,177,328
BG_046,DMS,BG_046_01072025,214,0.0,0.1097741252693077,15782.0,0.7909604519774012,0.768361581920904,-0.23728813559322026,0.06167400881057272,177,328
BG_046,DMS,BG_046_01072025,218,0.65,0.1729606364278107,198530.0,26.876513317191282,-0.616626311541566,1.322033898305083,-2.0176211453744486,177,328
BG_046,DMS,BG_046_01072025,224,0.95,-0.1422864526610929,6343.0,0.5972558514931396,-0.25827280064568203,-0.26365348399246696,0.24375917767988264,177,328
BG_046,DMS,BG_046_01072025,243,0.7000000000000001,0.0932527272683484,14020.0,0.8232445520581114,0.7586763518966909,0.09416195856873832,0.9162995594713655,177,328
BG_046,DMS,BG_046_01072025,247,1.0,-0.1534549116338723,11406.0,1.2267958030669894,0.08393866020984664,-0.04519774011299438,0.24963289280469914,177,328
BG_046,DMS,BG_046_01072025,252,0.35,0.142435423291398,8485.0,0.6618240516545602,0.21953188054882966,-0.31261770244821097,0.41116005873715145,177,328
BG_046,DMS,BG_046_01072025,261,0.75,0.0703417585981388,12612.0,0.9523809523809523,0.4939467312348669,0.3954802259887005,0.37298091042584436,177,328
BG_046,DMS,BG_046_01072025,264,1.1,0.0771492606909184,211628.0,26.505246166263117,0.27441485068603555,3.386064030131827,3.3098384728340697,177,328
BG_046,DMS,BG_046_01072025,276,1.25,0.1716180138441084,25742.0,2.873284907183212,0.8103309120258273,2.5160075329566847,3.007342143906021,177,328
