subject,region,session,unit,kernel_peak_t,c1_r,n_spikes,base_hz,change_on,hit_ramp,fa_ramp,n_hit,n_fa
BG_046,DMS,BG_046_01072025,278,0.1,0.2987334410220528,123667.0,14.705407586763517,1.7239709443099294,2.6591337099811714,4.328928046989722,177,328
BG_046,DMS,BG_046_01092025,54,0.95,0.2206785124786491,324627.0,46.47619047619047,0.020779220779232332,1.854545454545459,6.396551724137929,165,156
BG_046,DMS,BG_046_01092025,216,0.6000000000000001,0.2909403274675211,16245.0,2.701298701298701,-0.4952380952380948,-0.5777777777777775,0.02298850574712663,165,156
BG_046,DMS,BG_046_01092025,327,0.5,0.2725564872773451,237029.0,28.207792207792206,1.7558441558441586,2.7797979797979764,3.051724137931032,165,156
BG_046,DMS,BG_046_01092025,336,0.3,0.202402851697408,180545.0,22.389610389610386,0.13160173160173372,7.753535353535355,9.885057471264364,165,156
BG_046,DMS,BG_046_02072025,150,0.55,0.3022323141284398,19220.0,0.9460737937559128,0.29895931882686855,-0.26048565121412803,-0.08849557522123885,151,364
BG_046,DMS,BG_046_02072025,262,0.15,0.2098551976605507,56465.0,6.452223273415325,1.7861873226111653,0.8079470198675498,0.3480825958702063,151,364
BG_046,DMS,BG_046_02072025,277,0.2,0.2912407895716088,115567.0,13.774834437086092,0.6622516556291398,3.9690949227373054,1.2772861356932168,151,364
BG_046,DMS,BG_046_02072025,501,0.1,0.7271134255228217,80015.0,15.364238410596027,2.543046357615893,3.6821192052980134,-0.46902654867256643,151,364
BG_046,DMS,BG_046_02092025,16,0.25,0.283390211826764,38260.0,4.520795660036166,0.18806509945750527,-0.6624472573839668,-0.06751054852320593,158,111
BG_046,DMS,BG_046_02092025,17,0.4,0.2672679063029783,185611.0,20.994575045207952,1.3851717902350842,6.151898734177216,3.6708860759493653,158,111
BG_046,DMS,BG_046_02092025,287,1.4,0.2155210462073908,156663.0,18.589511754068713,0.6509945750452104,4.4472573839662495,2.9873417721519004,158,111
BG_046,DMS,BG_046_02092025,422,1.2000000000000002,0.2475824237871486,210916.0,22.206148282097647,-0.6112115732368864,-1.9409282700421961,-1.6033755274261594,158,111
BG_046,DMS,BG_046_03072025,191,0.15,0.256419918228942,205684.0,25.130228887134958,2.913970007892665,-4.41988950276243,-3.342163355408392,181,194
BG_046,DMS,BG_046_03072025,276,0.1,0.2541449234138213,111354.0,12.217837411207578,2.4340962904498813,3.1786372007366506,4.189845474613689,181,194
BG_046,DMS,BG_046_03072025,471,0.55,0.371501556557661,160321.0,13.970007892659826,4.416732438831886,7.580110497237573,4.494481236203093,181,194
BG_046,DMS,BG_046_03072025,598,0.45,0.2436171143678118,9591.0,1.3417521704814521,0.028413575374901523,0.09944751381215466,0.19426048565121423,181,194
BG_046,DMS,BG_046_03092025,44,0.1,0.205408310921978,291946.0,35.09625126646402,-0.713272543059766,-3.234042553191486,0.4833333333333343,141,109
BG_046,DMS,BG_046_03092025,93,0.5,0.295462242181405,137077.0,13.98176291793313,-0.6767983789260388,0.3924349881796676,0.18333333333333357,141,109
BG_046,DMS,BG_046_03092025,165,0.65,0.2963864131310832,228095.0,31.469098277608907,-2.419452887537986,0.5200945626477562,1.7333333333333343,141,109
BG_046,DMS,BG_046_03092025,326,0.35,0.264825006984084,164722.0,19.594731509625124,0.320162107396154,-1.995271867612292,2.683333333333337,141,109
BG_046,DMS,BG_046_03092025,473,0.2,0.2136982068205608,6931.0,0.4457953394123606,-0.020263424518743578,-0.23167848699763594,0.475,141,109
BG_046,DMS,BG_046_03092025,479,0.35,0.2478982395952237,20651.0,2.330293819655522,-0.14589665653495443,-0.2458628841607562,-0.04166666666666652,141,109
BG_046,DMS,BG_046_04072025,18,0.55,0.2186804740705138,7801.0,1.3347236704900938,0.1835245046923879,0.4038929440389296,0.40104166666666696,137,157
BG_046,DMS,BG_046_04072025,44,0.25,0.2052350083618084,43184.0,6.944734098018769,-0.11261730969760109,-0.4720194647201943,-0.44270833333333304,137,157
BG_046,DMS,BG_046_04072025,60,0.1,0.2482538566470128,9756.0,1.2095933263816472,-0.04171011470281516,0.6812652068126521,0.05729166666666674,137,157
BG_046,DMS,BG_046_04072025,179,0.25,0.2727089913180489,202248.0,29.384775808133472,0.22106360792492197,-6.17031630170316,-3.635416666666668,137,157
BG_046,DMS,BG_046_04072025,191,0.15,0.3178375973476556,210187.0,32.88842544316996,-1.7059436913451407,1.537712895377119,0.375,137,157
BG_046,DMS,BG_046_04072025,259,0.35,0.2312746606570476,141639.0,15.933263816475494,1.555787278415016,0.6666666666666643,1.0677083333333357,137,157
BG_046,DMS,BG_046_04072025,336,0.35,0.2934480649921899,85753.0,14.11887382690302,-1.0385818561001,-2.1605839416058394,-1.197916666666666,137,157
BG_046,DMS,BG_046_04072025,423,0.2,0.2074538061287241,158301.0,23.83733055265902,-0.5672575599582892,0.4184914841849121,-1.53125,137,157
