measure,scope,n,gmm_delta_bic,gmm_means,gmm_weights,silverman_p_unimodal,dip,dip_p,bimodality_coef
interp_fwhm,pooled,520,242.31111224407277,"[0.08518532151140004, 0.19702951690643547]","[0.5698835630766328, 0.4301164369233674]",0.31,,,0.5281433696018928
interp_fwhm,DMS,201,121.60075930847717,"[0.0882537420746601, 0.21494919873458074]","[0.67299380867699, 0.32700619132301006]",0.18333333333333332,,,0.6110992584430038
interp_fwhm,VMS,319,125.15054740079484,"[0.080197245951373, 0.18292081214560918]","[0.4610087012036022, 0.5389912987963977]",0.41,,,0.5366608247022553
temporal_spread,pooled,520,-11.15125826622534,"[0.386495257527276, 0.4240946140133894]","[0.4364335947790301, 0.5635664052209698]",0.43,,,0.3190363070889642
temporal_spread,DMS,201,-12.32061684454925,"[0.3836998902440428, 0.42917236479508974]","[0.5312158137772924, 0.4687841862227075]",0.35,,,0.3832862318170104
temporal_spread,VMS,319,-10.496949232937823,"[0.3904855249231302, 0.4208840929897061]","[0.378893042016399, 0.621106957983601]",0.4866666666666667,,,0.28828971499947786
pulse_fwhm_all,pooled,520,234.5555478267088,"[0.08868552553870868, 0.1984490683079026]","[0.6953914119771499, 0.30460858802285]",0.19333333333333333,,,0.6117305614432647
pulse_fwhm_all,DMS,201,83.39527677965793,"[0.10119683591215212, 0.2665949763752464]","[0.8552386952881508, 0.14476130471184923]",0.11333333333333333,,,0.6587092217172236
pulse_fwhm_all,VMS,319,139.35391472583865,"[0.08476514132426509, 0.188127148813906]","[0.6570050867143187, 0.3429949132856813]",0.31666666666666665,,,0.5887378869086556
