cluster_id,tier,z_max_fast,z_min_fast,z_max_slow,z_min_slow,n_fast_pulses,n_slow_pulses,baseline_fr_hz
329,Tier 1 (Splitter),1.6519288386749276,-1.6547649029296583,5.571279730476751,-1.2773684710133708,18690,18474,0.5671709626400453
370,Tier 2 (Unilateral),0.9370853003853454,-2.555729366443652,2.0974968413714947,-1.0734722010233508,15459,15293,14.599380290139202
429,Tier 3 (Omni),2.021473122339536,-1.2136106166397649,2.046415138384473,-1.5054564208076417,16611,16536,5.040048327741872
41,Non-responsive,3.6655364608912264,-2.133393250872131,1.7977926940871154,-1.7791334103658152,15650,15447,1.9777942919385423
