panel,region,row_id,decile_median_width,onset_s,n_units
g,pooled,146,,-1.9875,1
g,pooled,147,,-1.9875,1
g,pooled,148,,-1.9875,1
g,pooled,149,,-1.9875,1
g,pooled,150,,-1.9875,1
g,pooled,151,,-1.9875,1
g,pooled,152,,-1.9875,1
g,pooled,153,,-1.9875,1
g,pooled,154,,-1.9875,1
g,pooled,155,,-1.9875,1
g,pooled,156,,-1.9875,1
g,pooled,157,,-1.9875,1
g,pooled,158,,-1.9875,1
g,pooled,159,,-1.9875,1
g,pooled,160,,-1.9875,1
g,pooled,161,,-1.9875,1
g,pooled,162,,-1.9875,1
g,pooled,163,,-1.9875,1
g,pooled,164,,-1.9875,1
g,pooled,165,,-1.9875,1
g,pooled,166,,-1.9875,1
g,pooled,167,,-1.9875,1
g,pooled,168,,-1.9875,1
g,pooled,169,,-1.9875,1
g,pooled,170,,-1.9875,1
g,pooled,171,,-1.9875,1
g,pooled,172,,-1.9875,1
g,pooled,173,,-1.9875,1
g,pooled,174,,-1.9875,1
g,pooled,175,,-1.9875,1
g,pooled,176,,-1.9875,1
g,pooled,177,,-1.9875,1
g,pooled,178,,-1.9875,1
g,pooled,179,,-1.9875,1
g,pooled,180,,-1.9875,1
g,pooled,181,,-1.9875,1
g,pooled,182,,-1.9875,1
g,pooled,183,,-1.9875,1
g,pooled,184,,-1.9875,1
g,pooled,185,,-1.9875,1
g,pooled,186,,-1.9875,1
g,pooled,187,,-1.9875,1
g,pooled,188,,-1.9875,1
g,pooled,189,,-1.9875,1
g,pooled,190,,-1.9875,1
g,pooled,191,,-1.9875,1
g,pooled,192,,-1.9875,1
g,pooled,193,,-1.9875,1
g,pooled,194,,-1.9875,1
g,pooled,195,,-1.9875,1
g,pooled,196,,-1.9875,1
g,pooled,197,,-1.9875,1
g,pooled,198,,-1.9875,1
g,pooled,199,,-1.9875,1
g,pooled,200,,-1.9875,1
g,pooled,201,,-1.9875,1
g,pooled,202,,-1.9875,1
g,pooled,203,,-1.9875,1
g,pooled,204,,-1.9875,1
g,pooled,205,,-1.9875,1
g,pooled,206,,-1.9875,1
g,pooled,207,,-1.9875,1
g,pooled,208,,-1.9875,1
g,pooled,209,,-1.9875,1
g,pooled,210,,-1.9875,1
g,pooled,211,,-1.9875,1
g,pooled,212,,-1.9875,1
g,pooled,213,,-1.9875,1
g,pooled,214,,-1.9875,1
g,pooled,215,,-1.9875,1
g,pooled,216,,-1.9875,1
g,pooled,217,,-1.9875,1
g,pooled,218,,-1.9875,1
g,pooled,219,,-1.9875,1
g,pooled,220,,-1.9875,1
g,pooled,221,,-1.9875,1
g,pooled,222,,-1.9875,1
g,pooled,223,,-1.9875,1
g,pooled,224,,-1.9875,1
g,pooled,225,,-1.9875,1
g,pooled,226,,-1.9875,1
g,pooled,227,,-1.9875,1
g,pooled,228,,-1.9875,1
g,pooled,229,,-1.9875,1
g,pooled,230,,-1.9875,1
g,pooled,231,,-1.9875,1
g,pooled,232,,-1.9875,1
g,pooled,233,,-1.9875,1
g,pooled,234,,-1.9875,1
g,pooled,235,,-1.9875,1
g,pooled,236,,-1.9875,1
g,pooled,237,,-1.9875,1
g,pooled,238,,-1.9875,1
g,pooled,239,,-1.9875,1
g,pooled,240,,-1.9875,1
g,pooled,241,,-1.9875,1
g,pooled,242,,-1.9875,1
g,pooled,243,,-1.9875,1
g,pooled,244,,-1.9875,1
g,pooled,245,,-1.9875,1
g,pooled,246,,-1.9875,1
g,pooled,247,,-1.9875,1
g,pooled,248,,-1.9875,1
g,pooled,249,,-1.9875,1
g,pooled,250,,-1.9875,1
g,pooled,251,,-1.9875,1
g,pooled,252,,-1.9875,1
g,pooled,253,,-1.9875,1
g,pooled,254,,-1.9875,1
g,pooled,255,,-1.9875,1
g,pooled,256,,-1.9875,1
g,pooled,257,,-1.9875,1
g,pooled,258,,-1.9875,1
g,pooled,259,,-1.9875,1
g,pooled,260,,-1.9875,1
g,pooled,261,,-1.9875,1
g,pooled,262,,-1.9875,1
g,pooled,263,,-1.9875,1
g,pooled,264,,-1.9875,1
g,pooled,265,,-1.9875,1
g,pooled,266,,-1.9875,1
g,pooled,267,,-1.9875,1
g,pooled,268,,-1.9875,1
g,pooled,269,,-1.9875,1
g,pooled,270,,-1.9875,1
g,pooled,271,,-1.9875,1
g,pooled,272,,-1.9875,1
g,pooled,273,,-1.9875,1
g,pooled,274,,-1.9875,1
g,pooled,275,,-1.9875,1
g,pooled,276,,-1.9875,1
g,pooled,277,,-1.9875,1
g,pooled,278,,-1.9875,1
g,pooled,279,,-1.9875,1
g,pooled,280,,-1.9875,1
g,pooled,281,,-1.9875,1
g,pooled,282,,-1.9875,1
g,pooled,283,,-1.9875,1
g,pooled,284,,-1.9875,1
g,pooled,285,,-1.9875,1
g,pooled,286,,-1.9875,1
g,pooled,287,,-1.9875,1
g,pooled,288,,-1.9875,1
g,pooled,289,,-1.9875,1
g,pooled,290,,-1.9875,1
g,pooled,291,,-1.9875,1
