region,unit_of_obs,pearson_r,pearson_p,spearman_r,spearman_p,n,slope,ci_lo,ci_hi
pooled,decile,-0.721246104558028,0.01856494264398112,-0.40121765882884264,0.2504960035253276,10,-0.34158387708370397,-0.3453967405797852,0.02638331349881906
pooled,cell,-0.025232047499256522,0.586111479700523,-0.10287107222671162,0.026054592800123212,468,-0.003006681251107765,-0.012572814421682413,0.00610922287612108
