region,unit_of_obs,pearson_r,pearson_p,spearman_r,spearman_p,n,slope,ci_lo,ci_hi
pooled,decile,-0.5271120285377937,0.11744040678203263,-0.3048837166595521,0.39167998252001834,10,-0.28649811005602793,-0.3662381571623634,0.050018257695935854
pooled,cell,-0.10491874710012736,0.01955175428845339,-0.17744480948362307,7.20356294877423e-05,495,-0.014921138863356453,-0.026722331225712964,-0.0038722603799440135
